Sample	posterior	likelihood	prior	treeLikelihood.hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned	treeHeight.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned	treeLength.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned	Tree.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned.count_Absent_to_Present	Tree.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned.count_Present_to_Absent	Tree.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned.count_Absent	Tree.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned.count_Present	rootTypeLogger.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned	R0.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned1	R0.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned2	samplingProportion.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned1	samplingProportion.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned2	samplingProportion.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned3	samplingProportion.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned4	becomeUninfectiousRate.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned1	becomeUninfectiousRate.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned2	rateMatrix.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned1	rateMatrix.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned2	geo-frequencies.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned1	geo-frequencies.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned2	clockRate.c:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned	freqParameter.s:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned1	freqParameter.s:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned2	freqParameter.s:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned3	freqParameter.s:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned4	rateAC.s:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned	rateAG.s:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned	rateAT.s:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned	rateCG.s:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned	rateGT.s:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned	gammaShape.s:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned
504000	-46189.73367458813	-46300.36794477036	110.63427018222666	-46300.36794477036	1.3904619502089284	42.281511678886815	1	3	40	37	0	1.0747357784451805	1.356368818738719	0.0	2.0802730985540572E-4	0.0	1.8004812505061703E-4	49.60903847663001	49.60903847663001	0.0020330419229003982	0.0013049138620466515	0.8610249436000296	0.138975056399971	4.6652228503459036E-4	0.3020469449413851	0.17902835787598695	0.1957603741074201	0.32316432307520815	0.08820126081117587	0.38461341066917243	0.05065624158145666	0.05801248272658967	0.30826381329784003	0.041993926205839985
505000	-46197.433679521935	-46300.684920578	103.2512410560675	-46300.684920578	1.4382999998540344	42.9553228666458	1	3	40	37	0	1.052135657801154	1.272211595119813	0.0	3.434553929251293E-4	0.0	4.1901981389313206E-4	52.49608887961684	52.49608887961684	0.0038338273628351917	0.0031605828694906937	0.8610249436000296	0.138975056399971	4.763031388342049E-4	0.3020469449413851	0.17902835787598695	0.1957603741074201	0.32316432307520815	0.08820126081117587	0.38461341066917243	0.05065624158145666	0.05801248272658967	0.30826381329784003	0.041993926205839985
506000	-46175.09689209602	-46296.557900091095	121.46100799507485	-46296.557900091095	1.2329092811765985	36.25063235178186	1	3	40	37	0	1.0755841228043355	1.3400778146748489	0.0	2.1947165385467345E-4	0.0	3.013248901258179E-4	54.861629455319516	54.861629455319516	0.005256901109562657	0.0011844075905009042	0.8610249436000296	0.138975056399971	5.354406513272731E-4	0.3020469449413851	0.17902835787598695	0.1957603741074201	0.32316432307520815	0.08820126081117587	0.38461341066917243	0.05065624158145666	0.05801248272658967	0.2899536959885073	0.041993926205839985
507000	-46178.17757712142	-46300.34288001832	122.16530289689524	-46300.34288001832	1.2172670504293397	35.47623267886523	1	3	40	37	0	1.088438220812575	1.2838887861954367	0.0	2.3409314398637328E-4	0.0	9.358679106279821E-4	51.82022311358303	51.82022311358303	0.004100823499020398	0.003175673634609843	0.8610249436000296	0.138975056399971	5.468955197423652E-4	0.30243538982059404	0.17902835787598695	0.1957603741074201	0.32277587819599923	0.08820126081117587	0.38461341066917243	0.05065624158145666	0.04240104012551196	0.2899536959885073	0.041993926205839985
508000	-46176.28643009871	-46305.86418098276	129.5777508840438	-46305.86418098276	1.196864949302382	35.739595225808856	1	3	40	37	0	1.0983877530873718	1.3404440679779668	0.0	1.710935620059372E-4	0.0	6.581741871826217E-4	52.21931748647517	52.21931748647517	0.002522392914813916	0.002596162013710521	0.8610249436000296	0.138975056399971	5.548047127116498E-4	0.30243538982059404	0.17902835787598695	0.1957603741074201	0.32277587819599923	0.08820126081117587	0.38461341066917243	0.05065624158145666	0.04240104012551196	0.2899536959885073	0.041993926205839985
509000	-46192.415140878016	-46311.08233272081	118.66719184279725	-46311.08233272081	1.291381605271997	39.214646082987755	1	3	40	37	0	1.0819624114450186	1.2881293700060128	0.0	1.4817824792873627E-4	0.0	7.388388246363073E-4	52.275813149808286	52.275813149808286	0.0023582288523455435	9.685362111639095E-4	0.7766260706096223	0.2233739293903782	4.938035656820787E-4	0.30243538982059404	0.17902835787598695	0.1957603741074201	0.32277587819599923	0.08820126081117587	0.2986330061584793	0.05065624158145666	0.04240104012551196	0.2899536959885073	0.041993926205839985
510000	-46182.60750961273	-46312.715259055905	130.10774944317484	-46312.715259055905	1.2072626858389817	35.74989940633829	1	3	40	37	0	1.0955275209736535	1.3520597065249207	0.0	9.115629404842655E-5	0.0	5.749831360145578E-4	53.728611840874976	53.728611840874976	0.0014866988359831547	0.0010447304569154098	0.7766260706096223	0.2233739293903782	5.742129699491772E-4	0.30243538982059404	0.17902835787598695	0.1957603741074201	0.32277587819599923	0.08820126081117587	0.2831568473211778	0.04971919216765677	0.04240104012551196	0.2899536959885073	0.009427598619929794
511000	-46159.9718354927	-46298.73312423579	138.76128874308523	-46298.73312423579	1.0857587231201773	31.366804876209457	1	3	40	37	0	1.1142556250795852	1.3464749814267616	0.0	1.5162911494138326E-4	0.0	0.0014875069588962608	50.529760098251984	50.529760098251984	0.0023625582208492597	4.0132156405841917E-4	0.7766260706096223	0.2233739293903782	6.197355026253609E-4	0.30243538982059404	0.17902835787598695	0.1957603741074201	0.32277587819599923	0.08820126081117587	0.2831568473211778	0.04971919216765677	0.04240104012551196	0.2899536959885073	0.00469057024142274
512000	-46160.63105070473	-46302.456983564625	141.8259328598945	-46302.456983564625	1.0047864419698398	28.997305074510983	1	3	40	37	0	1.0955964948447636	1.3641609597953552	0.0	1.8432175237133506E-4	0.0	0.0016501513945664306	53.5747389349447	53.5747389349447	0.004778256683208643	0.0013010954781528077	0.7766260706096223	0.2233739293903782	7.171582984746701E-4	0.30243538982059404	0.17902835787598695	0.1957603741074201	0.32277587819599923	0.05316794858467528	0.2831568473211778	0.04971919216765677	0.04786012048176072	0.2899536959885073	0.00469057024142274
513000	-46170.78092092246	-46308.65730278986	137.87638186740423	-46308.65730278986	1.0945217566145964	32.78829241573314	1	3	40	37	0	1.1145141950569795	1.3551443536414935	0.0	1.6785263593915395E-4	0.0	0.001216717392345367	49.33517398363355	49.33517398363355	0.004008767664621371	0.002772510597901475	0.8811546930291992	0.11884530697080127	5.743054330056032E-4	0.30243538982059404	0.17902835787598695	0.1957603741074201	0.32277587819599923	0.05316794858467528	0.2831568473211778	0.04971919216765677	0.02267821902398153	0.2899536959885073	0.00469057024142274
